ID,year,school,247,rivals
rayrice_rutgers,2005,rutgers,None,false
derekbenson_rutgers,2005,rutgers,None,false
blakeoneill_michigan,2014,michigan,None,false
kristianpechac_indiana,2018,indiana,None,false
steviescottiii_indiana,2018,indiana,None,false
turonivy_indiana,2018,indiana,None,false
chasewyatt_indiana,2018,indiana,None,false
gabewatson_michigan,2002,michigan,None,false
williamcooper_michigan,2002,michigan,None,false
chrislaviano_rutgers,2013,rutgers,None,false
aidanmurray_rutgers,2013,rutgers,None,false
darnelldavis_rutgers,2013,rutgers,None,false
nickrafferty_rutgers,2013,rutgers,None,false
davidbonagura_rutgers,2013,rutgers,None,false
lloydtaylor_rutgers,2013,rutgers,None,false
razohnngross_rutgers,2013,rutgers,None,false
brianverbitski_rutgers,2013,rutgers,None,false
andrewharte_rutgers,2013,rutgers,None,false
djsingleton_nebraska,2013,nebraska,None,false
nategerry_nebraska,2013,nebraska,None,false
camronjones_nebraska,2018,nebraska,None,false
camtaylorbritt_nebraska,2018,nebraska,None,false
ajforbes_nebraska,2018,nebraska,None,false
treycovington_maryland,2004,maryland,None,false
reginaldsutton_rutgers,2018,rutgers,None,false
austinalbericci_rutgers,2018,rutgers,None,false
liamflite_rutgers,2018,rutgers,None,false
javishanks_rutgers,2018,rutgers,None,false
nickjohnston_rutgers,2018,rutgers,None,false
anthonymarshall_rutgers,2018,rutgers,None,false
brandonmyers_rutgers,2018,rutgers,None,false
jonathanpimentel_rutgers,2018,rutgers,None,false
freddierecio_rutgers,2018,rutgers,None,false
zachsterr_rutgers,2018,rutgers,None,false
johnnyyorey_rutgers,2018,rutgers,None,false
tedginn_ohiostate,2004,ohiostate,None,false
michaelcaputo_wisconsin,2011,wisconsin,None,false
jonalsaintdic_michiganstate,2005,michiganstate,None,false
austinparker_purdue,2011,purdue,None,false
jayharris_michiganstate,2013,michiganstate,None,false
kylewojta_wisconsin,2007,wisconsin,None,false
ryanwickesberg_wisconsin,2007,wisconsin,None,false
evanjansen_indiana,2013,indiana,None,false
griffinoakes_indiana,2013,indiana,None,false
aarondelgrosso_indiana,2013,indiana,None,false
tajwilliams_indiana,2013,indiana,None,false
mauriceswain_indiana,2013,indiana,None,false
darylchestnut_indiana,2013,indiana,None,false
genolewis_pennstate,2012,pennstate,None,false
jamilpollard_pennstate,2012,pennstate,None,false
nyeemwartmanwhite_pennstate,2012,pennstate,None,false
jamesterry_pennstate,2012,pennstate,None,false
christiancarpenter_maryland,2012,maryland,None,false
michaeldunn_maryland,2012,maryland,None,false
kennygoins_maryland,2012,maryland,None,false
brieanboddycalhoun_minnesota,2012,minnesota,None,false
bobbywalker_illinois,2015,illinois,None,false
jeraldfoster_nebraska,2014,nebraska,None,false
dimitriuscarrwatson_indiana,2009,indiana,None,false
lenyattakiles_indiana,2009,indiana,None,false
michaelzordich_pennstate,2008,pennstate,None,false
michaelyancich_pennstate,2008,pennstate,None,false
tyhowle_pennstate,2008,pennstate,None,false
garrygilliam_pennstate,2008,pennstate,None,false
malcolmwillis_pennstate,2008,pennstate,None,false
mikewallace_pennstate,2008,pennstate,None,false
kamlott_rutgers,2014,rutgers,None,false
sandyanya_rutgers,2014,rutgers,None,false
charlesscarff_rutgers,2014,rutgers,None,false
michaelcintron_rutgers,2014,rutgers,None,false
kevindaly_rutgers,2014,rutgers,None,false
talibabdurraoof_rutgers,2014,rutgers,None,false
jerelworthy_michiganstate,2009,michiganstate,None,false
drewstevens_michiganstate,2009,michiganstate,None,false
stevenmoore_michiganstate,2009,michiganstate,None,false
jordanbenton_michiganstate,2009,michiganstate,None,false
andrebuford_michiganstate,2009,michiganstate,None,false
miltoncolbert_michiganstate,2009,michiganstate,None,false
danconroy_michiganstate,2009,michiganstate,None,false
dougcurtis_michiganstate,2009,michiganstate,None,false
kylerelsworth_michiganstate,2009,michiganstate,None,false
dannyfolino_michiganstate,2009,michiganstate,None,false
chrishessell_michiganstate,2009,michiganstate,None,false
rjkelly_michiganstate,2009,michiganstate,None,false
kylenichol_michiganstate,2009,michiganstate,None,false
chadsetterbo_michiganstate,2009,michiganstate,None,false
davidspears_michiganstate,2009,michiganstate,None,false
hughstangeland_michiganstate,2009,michiganstate,None,false
anthonyrashadwhite_michiganstate,2009,michiganstate,None,false
mitchellwhite_michiganstate,2009,michiganstate,None,false
dalevoncampbell_illinois,2019,illinois,None,false
devonwitherspoon_illinois,2019,illinois,None,false
jalenembry_iowa,2014,iowa,None,false
brandonsnyder_iowa,2014,iowa,None,false
sambrincks_iowa,2014,iowa,None,false
dominicstampley_illinois,2018,illinois,None,false
quanmartin_illinois,2018,illinois,None,false
ronhardgeiii_illinois,2018,illinois,None,false
mattrobinson_illinois,2018,illinois,None,false
dylanthomas_illinois,2018,illinois,None,false
cameronwilson_minnesota,2009,minnesota,None,false
benperry_minnesota,2009,minnesota,None,false
zachmottla_minnesota,2009,minnesota,None,false
naterobinson_rutgers,2003,rutgers,None,false
chriswormley_michigan,2012,michigan,None,false
mattgodin_michigan,2012,michigan,None,false
